Id,SalePrice
1461,122742.449708
1462,151324.393068
1463,181255.554764
1464,188668.196701
1465,198293.907676
1466,177346.920805
1467,174532.578423
1468,167340.889884
1469,190644.751259
1470,119571.121312
1471,194788.071365
1472,95395.035889
1473,94963.7906074
1474,147951.079775
1475,126873.394562
1476,362293.659147
1477,247505.440615
1478,301073.217662
1479,271320.999218
1480,466401.704415
1481,317797.835912
1482,208624.815895
1483,178141.311919
1484,170496.110691
1485,185379.530177
1486,194929.775335
1487,329253.130754
1488,233933.143518
1489,199666.0802
1490,214654.132398
1491,193655.05072
1492,97068.3741381
1493,182453.465093
1494,294811.492115
1495,292674.202397
1496,232159.611697
1497,186559.755194
1498,163222.562075
1499,159020.282249
1500,157066.202536
1501,173909.929391
1502,157772.901625
1503,285055.624636
1504,234788.533467
1505,221034.650266
1506,184314.951008
1507,226001.801587
1508,199682.810192
1509,162384.593767
1510,147810.040283
1511,152977.041131
1512,173500.788897
1513,152330.868239
1514,154730.245161
1515,184673.293772
1516,157634.712727
1517,161357.138092
1518,131732.43334
1519,215949.822747
1520,132043.344401
1521,137214.314544
1522,171017.53287
1523,114171.039119
1524,125099.435273
1525,120800.268376
1526,118927.007616
1527,106458.758576
1528,134067.039698
1529,147274.708832
1530,178358.021924
1531,113795.71169
1532,102981.519307
1533,145468.051955
1534,122285.966724
1535,148087.969177
1536,112873.729174
1537,65740.2666617
1538,159778.877639
1539,206912.717423
1540,100136.051341
1541,140834.186609
1542,139986.294112
1543,196081.819748
1544,84703.9225671
1545,110570.041768
1546,130754.995113
1547,131020.272151
1548,138171.146076
1549,116633.130773
1550,137831.468859
1551,110393.56791
1552,135923.35825
1553,141022.246372
1554,114889.977096
1555,161766.815537
1556,88816.5542106
1557,115305.402521
1558,94770.0744613
1559,82307.9341724
1560,136866.209409
1561,130090.336522
1562,129529.050261
1563,120941.650878
1564,158500.967938
1565,153197.492598
1566,227027.098013
1567,76558.8182546
1568,226668.005447
1569,127663.439766
1570,130532.262076
1571,124210.274998
1572,142563.87501
1573,234666.193576
1574,117448.631148
1575,220036.237808
1576,227915.208923
1577,191124.25429
1578,151950.481641
1579,142471.945616
1580,193678.835378
1581,147040.830127
1582,126396.661025
1583,303027.462049
1584,226078.247729
1585,136951.997721
1586,65967.0040894
1587,106953.081144
1588,151515.278523
1589,98356.1907733
1590,133262.82839
1591,98205.9801601
1592,118423.999877
1593,121635.664476
1594,122285.252989
1595,109841.53533
1596,224937.246844
1597,174570.957008
1598,206804.664826
1599,180483.58993
1600,172222.781715
1601,70451.3383251
1602,111711.737645
1603,80079.6445169
1604,267543.497147
1605,244907.167687
1606,168256.948661
1607,168945.253628
1608,216356.230905
1609,190502.415787
1610,156293.049716
1611,142501.302362
1612,166965.260643
1613,164189.125249
1614,125310.288951
1615,91134.0037026
1616,80885.4439752
1617,91479.4641995
1618,127038.287196
1619,135201.62548
1620,146538.988959
1621,137865.886846
1622,145165.40516
1623,272180.11736
1624,209535.857802
1625,122098.84746
1626,172168.384756
1627,190272.400118
1628,282746.230829
1629,178677.658337
1630,333179.857083
1631,225589.053246
1632,250279.545513
1633,174515.599763
1634,183305.275634
1635,175934.723664
1636,156194.419384
1637,188444.732355
1638,194866.95479
1639,186988.172309
1640,250185.71642
1641,185481.0334
1642,234537.65841
1643,218341.453808
1644,228341.373826
1645,186528.699541
1646,156928.597426
1647,161933.393148
1648,136080.898429
1649,140163.858583
1650,116713.542935
1651,120912.001599
1652,94997.1464106
1653,98635.848481
1654,148187.482043
1655,144015.599855
1656,143796.044611
1657,148525.095037
1658,147521.538696
1659,130059.436093
1660,151002.056674
1661,428295.716297
1662,386401.0123
1663,375950.600215
1664,445489.353128
1665,311786.159605
1666,330141.11138
1667,372782.183097
1668,345637.131619
1669,312415.050791
1670,345234.348346
1671,264993.763643
1672,444893.042766
1673,292243.403846
1674,245644.82117
1675,190435.32489
1676,191803.579676
1677,214849.937265
1678,449684.512406
1679,388351.391855
1680,317870.037524
1681,248547.739847
1682,311956.653654
1683,186471.688218
1684,172620.851726
1685,174312.562219
1686,168587.776596
1687,172779.805655
1688,186471.393806
1689,192083.149564
1690,190666.334419
1691,182850.76504
1692,266686.673972
1693,171410.858314
1694,183186.288796
1695,170124.65678
1696,267733.548871
1697,172497.566248
1698,340755.923865
1699,316729.732699
1700,247006.128059
1701,266352.324013
1702,241707.495559
1703,243627.737907
1704,281206.979769
1705,233672.071255
1706,365600.771641
1707,217719.518747
1708,209899.825185
1709,269508.109712
1710,218457.285173
1711,272997.103224
1712,242085.320084
1713,264538.271189
1714,221727.556229
1715,206336.185849
1716,177697.048097
1717,172250.608822
1718,136470.391825
1719,205339.851472
1720,243210.334927
1721,165165.536178
1722,125607.57551
1723,155398.745738
